耳罩	3M 1426 可调节经济型隔音耳罩 塑料+海绵 双色 头戴式 20副/箱（计价单位：副）
碎纸机	盆景 3P27A 黑武士系列风冷式碎纸机 4级 27L（计价单位：台）
乳酪	晨光 ABS91613 3#回形针 100枚/盒（计价单位：盒） (10盒/条)
卡纸	3M 655 记事贴 76*127mm（计价单位：本） (12本/包)
便利贴	3M 656 便利贴  51mm *76mm（计价单位：本） (12本/包)
订书机	晨光 ABS91668 订书机优品套装 12# (24套/箱)
直尺	晨光 ARL96004 塑料透明直尺 20cm（计价单位：把） (30把/盒)
订书钉	得力 0011 不锈钢订书钉 24/6 订书针 （计价单位：盒）
订书钉	得力 0012 订书针24/6 12*6mm 12号统一订书钉（计价单位：盒）
订书钉	得力 0014 厚层订书针23/23 （计价单位：盒）
扫描仪	紫图 G6400 A4幅画 高速扫描仪（计价单位：台）
订书钉	得力 0015 厚层订书针 23/10 加厚订书钉 一小盒价 (5盒/条)
粉盒	得力 0016 2# 24mm大头针（计价单位：盒）
回形针	得力 0018 回形针 100个/盒 (计价单位：盒)
美工刀片	得力 2011 大号美工刀片 100*18mm 10片/盒 （计价单位：盒）
美工刀片	得力 2012 小号美工刀片 9mm 10片/盒 （计价单位：盒）
美工刀片	得力 2045 美工刀 10mm 12把/盒 （计价单位：把） (12把/盒)
电视机	史丹利 STHT84073-8-23 DYNAGRIP扁嘴钳6英寸 长度165mm（计价单位：把）
美工刀	得力 2056 小号锌合金刀壳美工刀（计价单位：把） (12把/盒)
美工刀	得力 2061 大号美工刀 18mm 颜色随机（计价单位：把）
钢锉	世达（SATA） 03951 粗齿方锉 6寸 (计价单位:把)
钢锉	世达（SATA） 03952 粗齿方锉 8寸（计价单位:把）
钢锉	世达（SATA） 03953 粗齿方锉 10寸 (计价单位:把)
钢锉	世达（SATA） 03954 粗齿方锉 12寸 (计价单位:把)
锯/锯条	世达（SATA） 03943 迷你中齿半圆锉 185mm (计价单位:把)
钢锉	世达（SATA） 03944 迷你中齿半圆锉 200mm (计价单位:把)
钢锉	世达（SATA） 03945 迷你中齿半圆锉 215mm (计价单位:把)
钢锉	世达（SATA） 03946 迷你细齿半圆锉 185mm (计价单位:把)
插座	得力 3995 插座 总控6位 3个3位 3个两位 250v 10A 2500w 3米 白色 (计价单位：个)
钢锉	世达（SATA） 03931 半圆锉 6"粗齿 碳素工具钢（计价单位：把）
洗发水	飘柔 400ml 洗发露 焗油去屑（计价单位：瓶） 
剪刀	得力 6001 办公用剪刀 190mm 12把/盒（计价单位：把） (12把/盒)
电话机	中诺 G026 来电报号 免电池 黑名单功能电话机座机办（计价单位：部） 黑色
U盘	惠普（HP） v295w 金属商务U盘 银色 USB2.0 64G L31.5mm*W12.1mm*H4.5mm（计价单位：个）
套筒	世达（SATA）12701 10mm系列6角花形套筒 E4（计价单位：个）
继电器	正泰 JYB-714 液位继电器 220V
套筒	世达（SATA）12413 10mm系列6角公制长套筒 20mm（计价单位：个）
投影机	明基 MX604 办公投影机（XGA分辨率 3600流明 HDMI*2 内置音响）296*221*120mm 白色（计价单位：台）
考勤机	浩顺 F2868U 面部识别考勤机 人脸+指纹+密码(计价单位:台)
剪刀	得力 6010 办公剪刀210mm（计价单位：把）
剪刀	得力 6017 办公剪刀 带标尺 182mm 12把/盒（计价单位：把） (12把/盒)
剪刀	得力 6027 合金不锈钢剪刀 黑色(计价单位：把) (12把/盒)
硒鼓	惠普 Q2612A 硒鼓 黑色 （计价单位：支）
交换机	华为 S1728GWR-4P-AC 24口全千兆网管型交换机(计价单位:台)
网络存储	威联通 TS-453B 四盘位网络存储器  尺寸：168*170*226mm 黑色
财务单据	世达（SATA） 02545 气动往复锯（计价单位:把）
单反照相机	佳能 EOS 800D 单反机身（计价单位：台）
单反照相机	尼康 D5600 18-140mm f/3.5-5.6G ED VR 单反套机 黑色 (计价单位：台)
订书机	益而高 9628 旋转订书机 中号订书器 转头订书机 1个装 （颜色随机）（计价单位：个）
螺丝批组套	世达（SATA） 03141 6件套一字 十字迷你螺丝批组套（计价单位:套）
螺丝批组套	世达（SATA） 03142 6件套十字 花形迷你螺丝批组套（计价单位:套）
扫把/拖把	家杰 JJ-201 小号不锈钢扫把簸箕套装 软毛 簸箕25*85cm 扫把30*83cm 粉色 （计价单位：套）
钢卷尺	得力 8202 钢卷尺3m（计价单位：个） (10个/盒)
固体胶	晨光 MG7105 高粘度固体胶棒 15g（计价单位：支） (24支/盒)
钢卷尺	得力 8203 5m钢卷尺 自动收缩 （计价单位：个） (10个/盒)
读卡器	绿联 CR125 30333 多功能合一读卡器 USB3.0 55*68*15mm 灰色
钢卷尺	得力 8208 钢卷尺 5m*19mm（计价单位：个） (10个/盒)
钢直尺	得力 8464 钢直尺50cm（计价单位：把）
卷尺	得力 DL9005B 钢卷尺19mm*5m
剪刀	得力 6012 手工剪刀  135mm  12把/盒（计价单位：把） (12把/盒)
其他生活用品	绿叶粘蝇彩条  效果持久 无香型 双面
硒鼓	惠普（HP） CE312A 硒鼓黄色适用CP1025 M175a（计价单位：支）
色带	兄弟 TZe-Z221 标签色带 9mm 白底黑字适用于PT-18Rz PT-9700PC PT-9800PCN PT-D200 (DR) PT-D200(KT) （计价单位：个）
色带	兄弟 TZe-641 标签色带 黄底黑字 18mm (适用9500/9700/9800/3600/2430/2730/7600/18RZ/2030/2100)
墨盒	佳能 PGI-2800 墨盒 黑色 适用于IB4080、MB5080、MB4180、MB5180
墨盒	佳能 PGI-2800 墨盒 红色 适用于：IB4080、MB5080、MB4180、MB5180
硒鼓	惠普（HP） CF231A 31A原装黑色硒鼓 适用230系列打印机 （计价单位：支）
墨盒	佳能 PGI-2800 墨盒 黄色 适用于：IB4080、MB5080、MB4180、MB5180
墨盒	佳能 PGI-2800 墨盒 蓝色 适用于：IB4080、MB5080、MB4180、MB5180
硒鼓	惠普（HP） CE311A 硒鼓青色适用 M175a M175nw M275（计价单位：支）
封箱胶带	得力 30173 透明封箱胶带 45mm*60y（计价单位：卷） (6卷/筒)
硒鼓	惠普（HP） CE313A 硒鼓红色适用M175a M175nw M275（计价单位：支）
套筒组套	世达（SATA） 09501 12.5mm系列套筒组套 26件（计价单位：套）
套筒组套	世达（SATA） 09521 6.3mm系列套筒组套13件（计价单位：套）
套筒组套	世达（SATA） 09523 10mm系列套筒组套14件（计价单位：套）
套筒组套	世达（SATA） 09524 10mm系列套筒组套21件（计价单位：套）
套筒组套	世达（SATA） 09525 12.5mm系列套筒组套13件（计价单位：套）
漏勺	法克曼 5215281 不锈钢圆漏勺 直径20cm（几家单位：个）
复印机	佳能 iR-ADV C5535 A3彩色数码复印机 35页/分钟 双面同步扫描输稿器 双纸盒 上门安装/上门售后（计价单位：台）
墨盒	惠普（HP） 825A 粉盒 CB390A黑色 适用CM6030 6040（计价单位：盒）
筷子	双枪 KZ2000 家用铁木筷子 24cm 10双/板（计价单位：板）
复印机	佳能 iR-ADV C3530 A3彩色数码复印机 30页/分钟 配置：四纸盒 双面自动输稿器 上门安装/上门售后 （计价单位：套）
复印机	佳能 iR-ADV C3525 A3彩色数码复印机 25页/分钟 配置：四纸盒 双面自动输稿器 上门安装/上门售后 （计价单位：套）
复印机	佳能 iR-ADV C3525 A3数码彩色激光复印机 25页/分钟 配置：双纸盒 双面自动输稿器 工作台 上门安装/上门售后（计价单位：套）
墨盒	惠普（HP） 51645AA 45号墨盒 黑色（适用Deskjet710c 830c 850c 870cxi）( 计价单位：个)
复印机	佳能 iR-ADV C3520 A3彩色数码复印机 20页/分钟 配置：双纸盒 双面自动输稿器 上门安装/上门售后 （计价单位：套）
套筒套装	世达（SATA） 09527 44件6.3*10mm系列套筒及旋具头组套铬钒钢（计价单位：套）
麻花钻头组套	世达（SATA） 09812 4件调温型热风枪组套（计价单位：套）
热风枪组套	世达（SATA） 09813 6件数显型热风枪组套（计价单位：套）
复印纸	亚太森博 A4 85G 红百旺复印纸 500张*5包/箱(计价单位:箱)
插线板	公牛 GN-109K 插线板 新国标  5m 10A 6位（计价单位：个）
封箱胶带	得力 30322 透明封箱胶带60mm*50y*50um*1卷（计价单位：卷） (6卷/筒)
硒鼓	惠普（HP） Q2612A 硒鼓 原装 黑色 适用于：惠普 1010/1015/1020/1022/3015/3020（计价单位：支）
菜刀	张小泉 N5472 不锈钢菜刀 30.5*8.5cm 310g（计价单位：把）
插座	公牛 GN-102 电源插座 6位无控（三个三项+三个两项）1.8m（计价单位：个）
封箱胶带	得力 30325 透明封箱胶带 60mm*100y/卷 （计价单位：卷） (6卷/筒)
衣柜	森傲 SAYG003 四门衣柜 采用实木结构 优质环保油漆 1600W*600D*2200Hmm 胡桃木色
插线板	公牛 GN-216 插线板 5m 10A 6位 新国标（计价单位：个）
插座	公牛 GN-217 电源插座 一控八（八个三项）5m 白色（计价单位：个）
路由器	TP-LINK TL-R473GP-AC 企业级VPN路由器 千兆端口/ AP管理/POE供电 100*98*25mm 黑色
配电箱/断路器	德力西 DZ47S D 2P 63A 小型断路器 空气开关（计价单位：个）
书柜	鑫博奥 XT-12 六门书柜 基材采用中密度板 进口胡桃木贴面 2700*400*2000mm 棕色
插座	公牛 GN-218 5米 插座
插线板	公牛 GN-312 插线板 新国标 3m 10A 5位（计价单位：个）
墨粉	柯尼卡美能达 TN119H 墨粉盒碳粉 适用于柯美BH195/206/215/235/7719
复印纸	绿百旺 A3 80g 复印纸 500张/包 4包/箱(计价单位:箱)
插线板	公牛 GN-403 插线板 新国标 3m 10A 8位（计价单位：个）
投影机	爱普生 CB-970 投影仪 1024X768分辨率 4000流明 白色 标配
插座	得力 18277-02 插座线板 3m 1孔
U盘	三星Bar32GU盘 时尚金属色
沐浴露	舒肤佳 400ml 沐浴露 （计价单位:瓶) 芦荟水润
显示器	AOC C27B1H 显示器 27英寸1700R曲面HDMI接口1080P全高清 黑色
洁厕液	威猛先生 480g*3瓶 洁厕液 清香型 (计价单位:套)
PU/PVC笔记本	得力 7092 固体胶棒 20g（计价单位：支） (12支/盒)
固体胶	得力 7093 固体胶棒 36g/支 （计价单位：支） (12支/盒)
继电器	正泰 XJ3-G 相序保护继电器 三相 380V
复印纸	高品乐 A4 70g 高级复印纸 500张/包 5包/箱 (计价单位：箱)
插线板	公牛 GN-314 插线板 新国标 3m 10A 3位（计价单位：个）
无线话筒	凯浮蛙 U4600C 会议无线话筒一拖四 黑色（计价单位：套）
显示器	戴尔 SP2318H 电脑显示器 23英寸 微边框 旋转升降 广视角 带HDMI线 黑色
墨盒	惠普（HP） 955C 墨盒 青色 适用机型惠普hp8210/8710/8720/8730喷墨机打印机
墨盒	惠普（HP） 955M 墨盒 品红 适用机型惠普hp8210/8710/8720/8730喷墨机打印机
墨盒	惠普（HP） 955Y 墨盒 黄色 适用机型惠普hp8210/8710/8720/8730喷墨机打印机
